author,text,hashtags,likes,retweets,replies,views,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,81,17,4,3345,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Ｍuneeb,$ CHILLGUY,,99,16,12,8034,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",2800,553,8,26268,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,48,15,9,1073,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,113,17,14,1857,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
KNIGHT,#chillguy,#chillguy,147,17,27,9979,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
NFTKhaoz,It’s a pretty  #Chillguy  weekend and not much going on so just holding for next week ,#Chillguy,63,10,5,1214,2025-06-01T04:30:18.000Z,https://x.com/NftKhaoz/status/1929032735009513568
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,848,167,38,37829,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,542,85,42,19659,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
Holoworld AI,just a  chill guy  in holoworld  @chillguycto @chillguyx,,397,103,47,40966,2025-05-20T22:57:34.000Z,https://x.com/HoloworldAI/status/1924962733012692995
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
Unique Aliens,"Buy in May, go away

Come back in June, watch it bloom

Sell in July, dont tell a lie #Bitcoin  

(May is a popular saying, but i made up the rest to match it)  Im just a  chill guy #chillguy","#Bitcoin,#chillguy",22,4,2,635,2025-05-24T13:35:57.000Z,https://x.com/UniqueAliensNFT/status/1926270951118791096
The Assertive Guy,बदमाशी ना मित्तर!!!  #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1199,243,5,13524,2025-05-26T06:12:46.000Z,https://x.com/SabChillHaiBro/status/1926884196632469598
Aurum,"Imagine getting the chance to buy  $PNUT  under 10M

Or $ CHILLGUY  under 10M

You'd throw everything you had at it right?  $KAKA  is currently 6M

The team is absolutely stacked with killers, with 10 and 9 figures launches under their belts 

The first 100M token on Bonk is sitting",,52,24,13,3947,2025-05-24T15:41:16.000Z,https://x.com/AURUM_TRADES/status/1926302486094131204
KNIGHT,#chillguy  looking forq 0.05$ for a bounce,#chillguy,87,8,10,6246,2025-05-31T10:49:10.000Z,https://x.com/cryptoknight890/status/1928765694625104009
Rypto,Chill Guy : The Quiet Strength Meme  #CHILLGUY @chillguycto,#CHILLGUY,235,51,32,39728,2024-11-24T17:27:38.000Z,https://x.com/Rypto__/status/1860737049826906499
chill guy | fan page,normal person: waiting for the bus chill guy : chilling at the bus stop.,,228,34,11,12617,2025-01-28T13:06:01.000Z,https://x.com/chillguyx/status/1884226425210699944
Kingpin⁴⁴,We got  chill guy  chaewon in fimlog after the incident of May 19th ,,0,0,0,0,2025-05-23T12:51:21.000Z,https://x.com/Kingpinzx/status/1925897336389026057
evy ☆,CHANEL bag with shorts and slippers i'm crying he's such a  chill guy,,0,0,0,0,2025-05-23T15:27:27.000Z,https://x.com/iIygemini/status/1925936622266167788
chill guy | fan page,just two  chill  bros who understand each other.,,219,38,15,14006,2024-12-21T20:16:03.000Z,https://x.com/chillguyx/status/1870563908181709023
chill guy | fan page,"Was over stressing over some shit I have no control of, then remembered I’m just a  chill guy",,664,126,32,111892,2024-11-22T14:35:18.000Z,https://x.com/chillguyx/status/1859968905865052182
