author,text,hashtags,likes,retweets,replies,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,4,17,4,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",8,553,8,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,146,68,146,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
Ｍuneeb,$ CHILLGUY,,12,16,12,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,8,14,8,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,1,22,1,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
krish,Chill guy  is basically a cartoonised version of Kevin James,,34,717,34,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,13,17,13,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
TOMMY.CRYPTO,Gm  #chillguy,#chillguy,7,6,7,2025-06-01T09:33:28.000Z,https://x.com/tommydotcrypto/status/1929109031383192057
KNIGHT,#chillguy,#chillguy,19,22,19,2025-06-01T16:03:41.000Z,https://x.com/cryptoknight890/status/1929207230529724451
joseph quinn’s sexy stylist,he’s just a  chill guy,,28,28,0,2025-06-01T03:12:00.000Z,https://x.com/whoreforjoequin/status/1929013028801954060
KNIGHT,#chillguy,#chillguy,27,17,27,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
KNIGHT,#chillguy  looking forq 0.05$ for a bounce,#chillguy,10,8,10,2025-05-31T10:49:10.000Z,https://x.com/cryptoknight890/status/1928765694625104009
Family Guy,i need you freaks to be  chill  about tonight's new  #familyguy,#familyguy,91,290,91,2025-05-29T17:00:22.000Z,https://x.com/FamilyGuyonFOX/status/1928134330515108100
Joanna Fowler,My son is a  #Chillguy .,#Chillguy,5,7,5,2025-05-31T22:29:31.000Z,https://x.com/fowler_joa10070/status/1928941939790921888
youngjae pics,Chill Guy,,57,57,0,2025-05-25T11:02:01.000Z,https://x.com/picyoungjae/status/1926594599813775380
Aurum,"Imagine getting the chance to buy  $PNUT  under 10M

Or $ CHILLGUY  under 10M

You'd throw everything you had at it right?  $KAKA  is currently 6M

The team is absolutely stacked with killers, with 10 and 9 figures launches under their belts 

The first 100M token on Bonk is sitting",,13,24,13,2025-05-24T15:41:16.000Z,https://x.com/AURUM_TRADES/status/1926302486094131204
evy ☆,CHANEL bag with shorts and slippers i'm crying he's such a  chill guy,,27,27,0,2025-05-23T15:27:27.000Z,https://x.com/iIygemini/status/1925936622266167788
scout,chill guy #bullseye,#bullseye,5,73,5,2025-05-29T18:39:02.000Z,https://x.com/Grimiio/status/1928159162032123968
"Wizard Of SoHo (,)",Chill guy  is bullish for men’s mental health,,55,127,55,2024-11-19T15:27:26.000Z,https://x.com/wizardofsoho/status/1858894861161623833
Danny André,#chillguy #SOL #memecoins  Looking super bullish ,"#chillguy,#SOL,#memecoins",9,24,9,2025-05-24T17:33:31.000Z,https://x.com/signalwolf1/status/1926330736761536787
chill guy | fan page,just a  chillguy  getting ready for his morning routine.,,15,95,15,2025-03-24T00:57:00.000Z,https://x.com/chillguyx/status/1903974293324898585
chill guy | fan page,just a  chill guy  who likes white monster.,,9,30,9,2024-12-26T12:32:04.000Z,https://x.com/chillguyx/status/1872259079109857582
·,chilling listening to music being a cute  chill guy #chillguythings,#chillguythings,47,47,0,2025-04-27T19:12:23.000Z,https://x.com/juyomifan/status/1916571145689616632
Livercoin,"Previous hard runners like MOODENG and  CHILLGUY  are already almost at their previous high, ready to breakout.

Only a matter of time until  $PIPPIN  catches up ",,40,18,40,2025-05-23T09:52:19.000Z,https://x.com/Livercoin/status/1925852281364164662
jan 𓈒 ˖ ࣪ 𝜗𝜚 DUH! | no genre,"riwoo is a  chill guy  

250601  #BOYNEXTDOOR #보이넥스트도어 #리우 #RIWOO #リウ","#BOYNEXTDOOR,#보이넥스트도어,#리우,#RIWOO,#リウ",3,85,3,2025-06-01T13:35:56.000Z,https://x.com/myungjaearchive/status/1929170048402477412
Tryrex,"NEW stop-loss for  CHILLGUY  at 0.08568

Now let's just wait until we reclaim 0.16$. 

Tight longs, big gains ",,4,7,4,2025-05-23T18:10:43.000Z,https://x.com/Tryrexcrypto/status/1925977709621993896
chill guy | fan page,just a  chill guy  who's ready for another character building weekend.,,7,27,7,2025-01-04T09:52:02.000Z,https://x.com/chillguyx/status/1875480297166287058
Chef Crypto,"the longer the consolidation the more violent the pop. #chillguy  is going to melt faces.

relax the mind, be a  chill guy .

you will be rewarded.",#chillguy,25,65,25,2024-11-30T18:26:28.000Z,https://x.com/chefcrypto_/status/1862926182376726990
NFTKhaoz,Possibly a Big bounce coming this week for  #Chillguy,#Chillguy,4,17,4,2025-05-24T04:46:02.000Z,https://x.com/NftKhaoz/status/1926137593697042874
