author,text,hashtags,likes,retweets,replies,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,81,17,4,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Ｍuneeb,$ CHILLGUY,,99,16,12,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",2800,553,8,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,416,69,149,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,113,17,14,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,848,167,38,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
Family Guy,i need you freaks to be  chill  about tonight's new  #familyguy,#familyguy,2228,290,91,2025-05-29T17:00:22.000Z,https://x.com/FamilyGuyonFOX/status/1928134330515108100
KNIGHT,#chillguy  looking forq 0.05$ for a bounce,#chillguy,87,8,10,2025-05-31T10:49:10.000Z,https://x.com/cryptoknight890/status/1928765694625104009
Kevin,"Ive been offline all day. But now I feel like trying this on $ CHILLGUY  
IT's weekend so 0.5% risk",,67,16,4,2025-06-01T17:37:47.000Z,https://x.com/TradelikeKevin/status/1929230912077627700
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,542,85,42,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
Holoworld AI,just a  chill guy  in holoworld  @chillguycto @chillguyx,,397,103,47,2025-05-20T22:57:34.000Z,https://x.com/HoloworldAI/status/1924962733012692995
KNIGHT,#chillguy,#chillguy,147,17,27,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
Coinbase Guy,Day 153 of posting  #CHILLGUY  until he gets listed on  @coinbase . #SpotListing,"#CHILLGUY,#SpotListing",94,18,6,2025-05-24T17:15:43.000Z,https://x.com/CoinbaseGuy/status/1926326257592963499
Unique Aliens,"Buy in May, go away

Come back in June, watch it bloom

Sell in July, dont tell a lie #Bitcoin  

(May is a popular saying, but i made up the rest to match it)  Im just a  chill guy #chillguy","#Bitcoin,#chillguy",22,4,2,2025-05-24T13:35:57.000Z,https://x.com/UniqueAliensNFT/status/1926270951118791096
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",0,0,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
CHILLGUY on SOL,#CHILLGUY  IS A SLEEPING GIANT,#CHILLGUY,116,12,5,2025-05-25T10:15:32.000Z,https://x.com/chillguy4life/status/1926582899563786694
Crypto Caesar,"#chillguy  massive opportunity here IMO.

Next target: 0.15$",#chillguy,90,16,7,2025-05-24T14:46:25.000Z,https://x.com/CryptoCaesar112/status/1926288683088429362
Braden ‍,Just a  chill guy  waiting for a Wirtz and Kerkez “Here We Go”,,5200,281,18,2025-05-24T18:47:03.000Z,https://x.com/Braden_LFC/status/1926349242060169365
NFTKhaoz,Possibly a Big bounce coming this week for  #Chillguy,#Chillguy,87,17,4,2025-05-24T04:46:02.000Z,https://x.com/NftKhaoz/status/1926137593697042874
chill guy | fan page,just a  chill guy  who's ready for another character building weekend.,,243,27,7,2025-01-04T09:52:02.000Z,https://x.com/chillguyx/status/1875480297166287058
chill guy | fan page,just a  chill guy  writing down his goals for 2025.,,2286,380,58,2024-12-27T09:35:01.000Z,https://x.com/chillguyx/status/1872576913383788836
Giro d'Italia, Just a  chill guy ... #GirodItalia  |  @EFprocycling,#GirodItalia,1542,122,31,2025-05-22T12:01:43.000Z,https://x.com/giroditalia/status/1925522460335603845
just a chill guy | fan page,it turns out that the  guy  is still  chill .,,387,67,27,2025-02-27T00:18:13.000Z,https://x.com/chillguycto/status/1894904838061695433
Jennie(slow),"Style: ""You  guys , seriously, don’t end up in jail again.""

Fadel: ""Why would we? No one actually enjoys doing it in cramped spaces, okay!

Bison: "" Chill , Fadel. But as for me, I do it in open spaces~""

****I'm going to die  #TheHeartKillers #จุงดัง","#TheHeartKillers,#จ",2224,425,5,2025-05-29T12:40:25.000Z,https://x.com/Jenny20_04/status/1928068912819699889
Danny André,#chillguy #SOL #memecoins  Looking super bullish ,"#chillguy,#SOL,#memecoins",80,24,9,2025-05-24T17:33:31.000Z,https://x.com/signalwolf1/status/1926330736761536787
just a chill guy | fan page,just a  chill guy  reflecting on a lovely christmas day.,,511,76,40,2024-12-26T04:51:01.000Z,https://x.com/chillguycto/status/1872143055509164243
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7961,112,25,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
0xDarius,"chillguy  is official now.

organizations starting to get the message.",,561,136,67,2024-12-01T18:38:17.000Z,https://x.com/0x_Darius/status/1863291544805036172
0xDarius,#chillguy  going viral. chillguy  traders lowkey  chill  nonchalant type shi.,#chillguy,323,50,31,2024-11-18T22:33:36.000Z,https://x.com/0x_Darius/status/1858639722362568792
paula ˚₊·—̳͟͞͞♡,taehyun and the  chill guy  meme against the world,,615,129,5,2025-05-23T14:15:10.000Z,https://x.com/tyuntete/status/1925918430269431957
just a chill guy | fan page,"even in the 'crime cycle', be a  chill guy  who does the right thing.",,297,58,42,2025-02-05T03:12:01.000Z,https://x.com/chillguycto/status/1886976043115847979
CryptoFayZ,$ CHILLGUY  will solve all ur problems  #chillguy,#chillguy,134,30,4,2025-05-27T13:43:41.000Z,https://x.com/Crypto_Fayz/status/1927360060423872601
Justpit,"Once market will rip hard, this one goes to $0.15-$0.2 #CHILLGUY",#CHILLGUY,99,21,2,2025-05-29T08:49:16.000Z,https://x.com/Justpit5/status/1928010742436941900
just a chill guy | fan page,"even with the world's weight on his shoulders, he's just a  chill guy .",,271,53,29,2025-02-10T15:47:33.000Z,https://x.com/chillguycto/status/1888978116606898275
CHILLGUY on SOL,"Still figuring it all out, but today I’m just soaking in the moment. Happy bday to the  chill guy .",,0,0,0,2025-05-24T23:56:42.000Z,https://x.com/chillguy4life/status/1926427164695576648
Daily Hyunwook 최현욱,chill guy,,0,0,0,2025-05-31T01:59:31.000Z,https://x.com/dailyhyunwook/status/1928632400377954317
chill guy | fan page,just a  chill  guying trying to be the boss of his emotions.,,379,57,7,2025-01-15T02:50:02.000Z,https://x.com/chillguyx/status/1879360365093429430
Gibbs,"NEXT LEG LOADING Last time we see under $0.10 for good.

GOD WILLING #ChillGuy",#ChillGuy,119,21,6,2025-05-26T00:55:53.000Z,https://x.com/CryptoGibbs28/status/1926804447377653811
scout,chill guy #bullseye,#bullseye,179,73,5,2025-05-29T18:39:02.000Z,https://x.com/Grimiio/status/1928159162032123968
chill guy | fan page,patiently waiting for her to make the first move cause i’m really just a  chill guy,,429,48,16,2024-11-22T05:34:40.000Z,https://x.com/chillguyx/status/1859832849609949399
chill guy | fan page,just two  chill  bros who understand each other.,,219,38,15,2024-12-21T20:16:03.000Z,https://x.com/chillguyx/status/1870563908181709023
GEIGER,guy  who's  chill  about being branded #afkjourney #esperiart #indris,"#afkjourney,#esperiart,#indris",0,0,0,2025-05-26T22:49:54.000Z,https://x.com/virtubozo/status/1927135131019387192
chill guy | fan page,Unbothered. Moisturized. Happy. In My Lane. Focused. Flourishing.,,2238,315,48,2024-12-03T23:41:59.000Z,https://x.com/chillguyx/status/1864092748585848934
just a chill guy | fan page,just a  chill guy  who can never have enough coins.,,583,94,53,2025-01-16T10:02:34.000Z,https://x.com/chillguycto/status/1879831602903371973
just a chill guy | fan page,"sunday  chill  day, touch some grass.",,527,59,26,2025-05-25T09:18:57.000Z,https://x.com/chillguycto/status/1926568659570352186
fity.eth,Chill Guy  is everywhere  0x60215db40b04fe029c42c56ff2e02221c1f288ef,,184,40,38,2024-12-12T01:51:24.000Z,https://x.com/Fityeth/status/1867024422911217961
just a chill guy | fan page,just a  chill guy  doing some last minute Christmas gift shopping.,,486,86,30,2024-12-24T15:37:03.000Z,https://x.com/chillguycto/status/1871580856642593198
uu,"G is too cool for that. He is a  chill guy , like, ok whatever, so i don't think so. 

P/s: but we knew Joss is spoiled G  ‍ ‍",,0,0,0,2025-05-24T01:34:12.000Z,https://x.com/gawinsfaen/status/1926089314238165010
///Steki,"MOMMA WE MADE IT!  @FOXBUSINESS #CHILLGUY , THE ULTIMATE NORMIE RETAIL PVE COIN

SHOUT OUT CHADETTE  @charleneswoods",#CHILLGUY,462,157,72,2024-12-03T07:36:52.000Z,https://x.com/stekisteks/status/1863849872493056051
"Wizard Of SoHo (,)",Chill guy  is bullish for men’s mental health,,910,127,55,2024-11-19T15:27:26.000Z,https://x.com/wizardofsoho/status/1858894861161623833
just a chill guy | fan page,football players and fans love  chill guy .,,421,62,11,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
just a chill guy | fan page,"take a break from the charts, get some fresh air.",,257,45,39,2025-02-02T16:01:21.000Z,https://x.com/chillguycto/status/1886082486419038468
just a chill guy | fan page,just a  chill guy  who needs his morning coffee.,,249,43,27,2025-02-20T13:04:04.000Z,https://x.com/chillguycto/status/1892560853435609504
FreenBecky&Chill,Guys  I’m so proud of her and I’m sure you all know what I mean  REBECCA WITH CHANEL J12 BLUE HOUR #ChanelJ12xBecky,#ChanelJ12xBecky,0,0,0,2025-05-24T12:21:01.000Z,https://x.com/FBandChill/status/1926252094287122590
𝘣𝘦𝘺𝘻𝘢⡡,profesör =  chill guy #EşrefRüya,#EşrefRüya,456,24,5,2025-05-26T14:23:08.000Z,https://x.com/yabaniaep/status/1927007598634586437
yau,Damn I miss the  chill guy  trenches,,63,12,6,2025-05-31T21:54:45.000Z,https://x.com/yauu23/status/1928933190950932566
Kevin,There’s no  chillguy  without  $omega . Repeat after me.,,15,5,3,2025-05-31T08:00:57.000Z,https://x.com/Keevinck/status/1928723358620815520
CryptoFayZ,$ CHILLGUY  long Setup  #CHILLGUY,#CHILLGUY,96,13,3,2025-05-27T14:00:14.000Z,https://x.com/Crypto_Fayz/status/1927364225720029284
