author,text,hashtags,likes,retweets,replies,created_at,url
just a chill guy | fan page,"even with the world's weight on his shoulders, he's just a  chill guy .",,29,53,29,2025-02-10T15:47:33.000Z,https://x.com/chillguycto/status/1888978116606898275
just a chill guy | fan page,just a  chill guy  remaining unfazed by fud and fake news.,,63,162,63,2024-12-26T22:25:02.000Z,https://x.com/chillguycto/status/1872408305026334952
just a chill guy | fan page,just a  chill guy  enjoying the  chill  snow.,,38,181,38,2024-12-27T17:22:02.000Z,https://x.com/chillguycto/status/1872694441649066044
just a chill guy | fan page,football players and fans love  chill guy .,,11,62,11,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
chill guy | fan page,would you trust this  chill  croupier to give you winning cards?,,14,25,14,2025-02-06T02:22:02.000Z,https://x.com/chillguyx/status/1887325852108492961
just a chill guy | fan page,"one  chill guy  might not change the world, but by inspiring others to be  chill  we can do it together.",,17,31,17,2025-03-16T23:50:44.000Z,https://x.com/chillguycto/status/1901420900617957709
just a chill guy | fan page,"don't mind me

just a  chill guy  flipping his water bottle.",,23,54,23,2024-11-26T20:27:21.000Z,https://x.com/chillguycto/status/1861507056127082683
FROGBLOCK,"Our game can get pretty tough, but the  chill  music keeps you calm  What do you  guys  think about this level? #gamedev #frog #indiegame","#gamedev,#frog,#indiegame",18,60,18,2025-05-30T18:18:19.000Z,https://x.com/frogblockgame/status/1928516337506169025
Kingpin⁴⁴,We got  chill guy  chaewon in fimlog after the incident of May 19th ,,1,74,1,2025-05-23T12:51:21.000Z,https://x.com/Kingpinzx/status/1925897336389026057
FreenBecky&Chill,Have you  guys  noticed the way Freen was looking at Becky during her speech? I can’t get over the way she got snapped out of her thoughts when Becky turned and looked at her  #FreenBecky #ฟรีนเบค #srchafreen #Beckysangels,"#FreenBecky,#ฟร,#srchafreen,#Beckysangels",13,748,13,2025-05-24T09:47:52.000Z,https://x.com/FBandChill/status/1926213549312884741
just a chill guy | fan page,just some  chill guys  taking over the internet.,,136,260,136,2024-12-02T23:59:55.000Z,https://x.com/chillguycto/status/1863734873669718512
Alex,"Everything will be alright when trump will become  #CHILLGUY  

till then nobody safe ",#CHILLGUY,2,11,2,2025-05-30T18:58:59.000Z,https://x.com/iamalexaslan/status/1928526569674276884
just a chill guy | fan page,just a  chill  cat that wants all of your attention.,,18,34,18,2025-03-24T00:03:17.000Z,https://x.com/chillguycto/status/1903960774395011248
0xDarius,#chillguy  going viral. chillguy  traders lowkey  chill  nonchalant type shi.,#chillguy,31,50,31,2024-11-18T22:33:36.000Z,https://x.com/0x_Darius/status/1858639722362568792
chill guy | fan page,"unbothered, unfazed, i'm just a  chill guy .",,22,80,22,2024-12-10T16:27:05.000Z,https://x.com/chillguyx/status/1866520019531669820
Coolmath Games,"it gets to a point.

( chill guy  art credit to  @PhillipBankss )",,16,60,16,2024-11-26T20:57:02.000Z,https://x.com/TheRealCoolmath/status/1861514522516680966
just a chill guy | fan page,just a  chill guy  who keeps scoring goals. Just a chill guy scoring at Old Trafford ,,18,72,18,2024-12-22T14:49:55.000Z,https://x.com/chillguycto/status/1870844219805581806
chill guy,He looks so done with all this sh!t #ElvishArmy #ElvishYadav,"#ElvishArmy,#ElvishYadav",6,116,6,2025-05-28T17:52:18.000Z,https://x.com/chillcurry_guy/status/1927785015854678242
just a chill guy | fan page,build towards making the world around you as  chill  as possible.,,19,32,19,2025-03-20T23:12:31.000Z,https://x.com/chillguycto/status/1902860836122587372
Kevin,There’s no  chillguy  without  $omega . Repeat after me.,,3,5,3,2025-05-31T08:00:57.000Z,https://x.com/Keevinck/status/1928723358620815520
chill guy | fan page,When you could retire on a golf course but you decide to Make America Great Again because you're a  Chill Guy .,,912,1823,912,2024-11-28T19:42:43.000Z,https://x.com/chillguyx/status/1862220599449239928
just a chill guy | fan page,just a  chill guy  dreaming about what's to come.,,29,73,29,2025-01-31T17:51:23.000Z,https://x.com/chillguycto/status/1885385403454132420
