author,text,hashtags,likes,retweets,replies,views,created_at,url
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,512,79,154,52161,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
Hasan,#CHILLGUY,#CHILLGUY,111,20,5,4994,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,95,15,41,4880,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,65,17,9,1516,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
vie (),just a little  chill guy #seiblue,#seiblue,695,150,2,5389,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1949,336,8,58433,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
Holoworld AI,just a  chill guy  in holoworld  @chillguycto @chillguyx,,397,103,47,40984,2025-05-20T22:57:34.000Z,https://x.com/HoloworldAI/status/1924962733012692995
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,120,18,16,2251,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
Justpit,#CHILLGUY  tic toc ,#CHILLGUY,66,13,8,1304,2025-06-02T06:57:27.000Z,https://x.com/Justpit5/status/1929432155395953039
just a chill guy | fan page,unbothered. moisturized. happy. in my lane. focused. chilling.,,663,109,56,27550,2024-12-22T04:46:02.000Z,https://x.com/chillguycto/status/1870692246678368302
KNIGHT,#chillguy,#chillguy,147,17,27,9987,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",0,0,0,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
Gibbs,Engagement.  #ChillGuy,#ChillGuy,85,13,6,1196,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
