author,text,hashtags,likes,retweets,replies,views,created_at,url
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,63,20,7,1414,2025-06-02T19:27:54.000Z,https://x.com/947SC/status/1929621011592310977
vie (),just a little  chill guy #seiblue,#seiblue,3367,569,5,26206,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
bryan mbuemo,Chill guy #bryanmbuemo #BrentfordFC,"#bryanmbuemo,#BrentfordFC",29549,1138,236,922047,2025-06-02T16:17:46.000Z,https://x.com/b_mbuemo/status/1929573164658430395
Hasan,#CHILLGUY,#CHILLGUY,135,22,7,7258,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
scout,chill guy #bullseye,#bullseye,188,78,5,2836,2025-05-29T18:39:02.000Z,https://x.com/Grimiio/status/1928159162032123968
chill guy | fan page,just a  chill guy  writing down his goals for 2025.,,2286,380,58,79854,2024-12-27T09:35:01.000Z,https://x.com/chillguyx/status/1872576913383788836
krish,Chill guy  is basically a cartoonised version of Kevin James,,6555,717,34,209622,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
Gibbs,Bull-post.  #ChillGuy,#ChillGuy,74,16,4,841,2025-06-02T14:58:49.000Z,https://x.com/CryptoGibbs28/status/1929553295326289952
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,86,20,9,2223,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
KNIGHT,#chillguy,#chillguy,120,26,20,6203,2025-06-01T16:03:41.000Z,https://x.com/cryptoknight890/status/1929207230529724451
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
Ｍuneeb,$ CHILLGUY,,103,17,12,8440,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
Fazt0x,$dilip  reminds me of the early hours of  chillguy,,0,0,0,0,2025-06-02T16:20:37.000Z,https://x.com/fazt0x/status/1929573881087418609
KNIGHT,#chillguy,#chillguy,85,18,3,4886,2025-06-02T13:14:17.000Z,https://x.com/cryptoknight890/status/1929526988957434320
Crypto GVR,Just opened  #chillguy  long  Do or Die trade,#chillguy,212,32,40,42267,2025-06-02T12:42:07.000Z,https://x.com/GVRCALLS/status/1929518891627356419
nebby/ray *ੈ✩‧₊˚,I love grumpy short  guy  and lowkey  chill  tall  guy  duos (solkat art is by beescake on tumblr btw ),,0,0,0,0,2025-06-01T04:04:47.000Z,https://x.com/nebbyray/status/1929026315669123525
crypto jedi,"#Chillguy  is so deeply rooted into our culture 

I see it all over other platforms used in the same way people use Pepe 

I see it in adds and I see it in random videos I see it in sports it’s everywhere still 

Here’s a few I’ve seen posted in the past week  #chillguy  to $10","#Chillguy,#chillguy",79,19,2,1206,2025-06-02T14:38:14.000Z,https://x.com/JediMasterct/status/1929548115180134735
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,138,21,18,2831,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,132,17,43,6767,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
just a chill guy | fan page,POV: you meet a  chillguy  investor.,,533,23,14,3907,2025-06-02T22:48:54.000Z,https://x.com/chillguycto/status/1929671596819861879
Kevin,"Ive been offline all day. But now I feel like trying this on $ CHILLGUY  
IT's weekend so 0.5% risk",,80,18,4,2777,2025-06-01T17:37:47.000Z,https://x.com/TradelikeKevin/status/1929230912077627700
Coinbase Guy,"Do you think that’s a motivational video for ppl who don’t trust  #CHILLGUY  yet?!

I’ve been buying every week/day no matter if he’s at 0.01 or 0.10 or 0.70 for me it’s ALL THE SAME! @chillguycto  is programmed for Deca Billions, so DCAing is the best answer!

Spot n  Chill",#CHILLGUY,68,12,5,1560,2025-05-31T19:12:03.000Z,https://x.com/CoinbaseGuy/status/1928892249133244885
joseph quinn’s sexy stylist,he’s just a  chill guy,,0,0,0,0,2025-06-01T03:12:00.000Z,https://x.com/whoreforjoequin/status/1929013028801954060
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7961,112,25,120133,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
chill guy | fan page,I’m just a  chill guy  with a low taper fade,,1214,76,37,247630,2024-11-26T03:52:41.000Z,https://x.com/chillguyx/status/1861256740169203889
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
CHILLGUY on SOL,#CHILLGUY  IS A SLEEPING GIANT,#CHILLGUY,116,12,5,1512,2025-05-25T10:15:32.000Z,https://x.com/chillguy4life/status/1926582899563786694
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1966,337,8,58458,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
X,The fridge wants more food ,,0,0,0,0,2025-05-24T21:43:22.000Z,https://x.com/justChill_guy/status/1926393613740585207
Aurum,"Imagine getting the chance to buy  $PNUT  under 10M

Or $ CHILLGUY  under 10M

You'd throw everything you had at it right?  $KAKA  is currently 6M

The team is absolutely stacked with killers, with 10 and 9 figures launches under their belts 

The first 100M token on Bonk is sitting",,52,24,13,3994,2025-05-24T15:41:16.000Z,https://x.com/AURUM_TRADES/status/1926302486094131204
KNIGHT,#chillguy,#chillguy,147,17,27,10014,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
Crypto Analyst,$ chillguy  soon $.30,,0,0,0,0,2025-06-02T13:46:30.000Z,https://x.com/CryptoA40672341/status/1929535093732737429
"Wizard Of SoHo (,)",Chill guys  are unbothered... Chill guys  are just ... being  chill,,540,95,77,32830,2024-11-26T12:27:28.000Z,https://x.com/wizardofsoho/status/1861386287254503833
chill guy | fan page,just a  chill guy  who just cant hear very well,,279,43,4,14921,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
Crypto Analyst,$ chillguy  will pump 60-80% soon.,,72,11,20,3360,2025-05-27T21:16:35.000Z,https://x.com/CryptoA40672341/status/1927474034461073873
натаріус,Chill  dudes  guys  girls,,543,24,8,6375,2025-05-29T18:26:04.000Z,https://x.com/notarialna_/status/1928155900050620859
"Wizard Of SoHo (,)",Just a  chill guy  waiting to get to chillions,,394,37,46,33900,2024-11-22T01:27:18.000Z,https://x.com/wizardofsoho/status/1859770601025700105
just a chill guy | fan page,just a  chill guy  in a world full of chaos.,,272,54,42,20592,2025-02-20T21:45:00.000Z,https://x.com/chillguycto/status/1892691951297667131
chill guy | fan page,just a  chill guy  stepping through the snow.,,399,32,8,13039,2025-01-03T00:02:02.000Z,https://x.com/chillguyx/status/1874969430746087630
