author,text,hashtags,likes,retweets,replies,views,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,112,20,5,5067,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,95,15,41,4947,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
Ｍuneeb,$ CHILLGUY,,99,16,12,8125,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
chill guy | fan page,just a  chill guy  writing down his goals for 2025.,,2286,380,58,79826,2024-12-27T09:35:01.000Z,https://x.com/chillguyx/status/1872576913383788836
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,515,79,154,52703,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1954,335,8,58435,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
NFTKhaoz,It’s a pretty  #Chillguy  weekend and not much going on so just holding for next week ,#Chillguy,66,10,5,1278,2025-06-01T04:30:18.000Z,https://x.com/NftKhaoz/status/1929032735009513568
KNIGHT,#chillguy,#chillguy,146,17,27,9987,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
vie (),just a little  chill guy #seiblue,#seiblue,826,171,2,6290,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
just a chill guy | fan page,unbothered. moisturized. happy. in my lane. focused. chilling.,,663,109,56,27553,2024-12-22T04:46:02.000Z,https://x.com/chillguycto/status/1870692246678368302
chill guy | fan page,just a  chill guy  who likes white monster.,,221,30,9,10782,2024-12-26T12:32:04.000Z,https://x.com/chillguyx/status/1872259079109857582
X,The fridge wants more food ,,0,0,0,0,2025-05-24T21:43:22.000Z,https://x.com/justChill_guy/status/1926393613740585207
just a chill guy | fan page,"chilling 

not a phone in sight nor a worry in the mind.",,1085,176,70,42109,2024-12-14T20:45:32.000Z,https://x.com/chillguycto/status/1868034611344998529
bels,"Bruh after jsc spilled the tea i rewatched this vid and he deadass bumped into ses so smooth like he was trying to tell seoknen like ""yo  guys chill  we’re being filmed.” ",,92,31,3,2040,2025-06-02T02:24:47.000Z,https://x.com/119savemalife/status/1929363535223529811
The Assertive Guy,बदमाशी ना मित्तर!!!  #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1193,243,5,13528,2025-05-26T06:12:46.000Z,https://x.com/SabChillHaiBro/status/1926884196632469598
Danny André,#chillguy #SOL #memecoins  Looking super bullish ,"#chillguy,#SOL,#memecoins",80,24,9,3582,2025-05-24T17:33:31.000Z,https://x.com/signalwolf1/status/1926330736761536787
chill guy | fan page,just a  chillguy  getting ready for his morning routine.,,1039,96,15,31415,2025-03-24T00:57:00.000Z,https://x.com/chillguyx/status/1903974293324898585
Gibbs,Engagement.  #ChillGuy,#ChillGuy,86,14,6,1205,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
Kingpin⁴⁴,We got  chill guy  chaewon in fimlog after the incident of May 19th ,,0,0,0,0,2025-05-23T12:51:21.000Z,https://x.com/Kingpinzx/status/1925897336389026057
chill guy | fan page,Unbothered. Moisturized. Happy. In My Lane. Focused. Flourishing.,,2232,315,48,84137,2024-12-03T23:41:59.000Z,https://x.com/chillguyx/status/1864092748585848934
Potto,"JUST A  #CHILLGUY THATS THE TWEET.

1B INEVITABLE.",#CHILLGUY,117,23,4,2204,2025-05-31T17:35:40.000Z,https://x.com/pottocrypto/status/1928867991518634314
Giro d'Italia, Just a  chill guy ... #GirodItalia  |  @EFprocycling,#GirodItalia,1543,122,31,111156,2025-05-22T12:01:43.000Z,https://x.com/giroditalia/status/1925522460335603845
Chillguy Kaputo,"Day 70 of posting my  #CHILLGUY  bag until it gets to $1,000,000. #ChillguyMillionaire @chillguycto Getting ready for the next pump? ;)","#CHILLGUY,#ChillguyMillionaire",68,17,4,1200,2025-06-01T14:09:13.000Z,https://x.com/KaputoJoe14449/status/1929178425073242314
Livercoin,"Previous hard runners like MOODENG and  CHILLGUY  are already almost at their previous high, ready to breakout.

Only a matter of time until  $PIPPIN  catches up ",,72,18,40,9523,2025-05-23T09:52:19.000Z,https://x.com/Livercoin/status/1925852281364164662
CryptoFayZ,$ CHILLGUY  will solve all ur problems  #chillguy,#chillguy,132,30,4,5712,2025-05-27T13:43:41.000Z,https://x.com/Crypto_Fayz/status/1927360060423872601
Penguin,#chillguy  will likely hit $0.50 this month.,#chillguy,63,14,9,1394,2025-06-02T02:41:02.000Z,https://x.com/PenguinOffisial/status/1929367626142150787
chill guy | fan page,normal person: waiting for the bus chill guy : chilling at the bus stop.,,228,34,11,12620,2025-01-28T13:06:01.000Z,https://x.com/chillguyx/status/1884226425210699944
FreenBecky&Chill,Guys  I’m so proud of her and I’m sure you all know what I mean  REBECCA WITH CHANEL J12 BLUE HOUR #ChanelJ12xBecky,#ChanelJ12xBecky,0,0,0,0,2025-05-24T12:21:01.000Z,https://x.com/FBandChill/status/1926252094287122590
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7959,112,25,120114,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
Coinbase Guy,"Do you think that’s a motivational video for ppl who don’t trust  #CHILLGUY  yet?!

I’ve been buying every week/day no matter if he’s at 0.01 or 0.10 or 0.70 for me it’s ALL THE SAME! @chillguycto  is programmed for Deca Billions, so DCAing is the best answer!

Spot n  Chill",#CHILLGUY,66,11,5,1371,2025-05-31T19:12:03.000Z,https://x.com/CoinbaseGuy/status/1928892249133244885
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,848,167,38,37830,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
joseph quinn’s sexy stylist,he’s just a  chill guy,,0,0,0,0,2025-06-01T03:12:00.000Z,https://x.com/whoreforjoequin/status/1929013028801954060
Mary Marouf,He's just a ' chill guy '  #BabarAzam𓃵 #BabarAzam,"#BabarAzam𓃵,#BabarAzam",487,8,3,4136,2025-05-30T09:02:26.000Z,https://x.com/Cricket_istic/status/1928376442812796971
nebby/ray *ੈ✩‧₊˚,I love grumpy short  guy  and lowkey  chill  tall  guy  duos (solkat art is by beescake on tumblr btw ),,0,0,0,0,2025-06-01T04:04:47.000Z,https://x.com/nebbyray/status/1929026315669123525
Tryrex,"NEW stop-loss for  CHILLGUY  at 0.08568

Now let's just wait until we reclaim 0.16$. 

Tight longs, big gains ",,55,6,4,2725,2025-05-23T18:10:43.000Z,https://x.com/Tryrexcrypto/status/1925977709621993896
࣪ ˚₊·—̳͟͞͞♡ lishie,chill guys,,0,0,0,0,2025-05-23T14:34:13.000Z,https://x.com/L0VELYBEOMIE/status/1925923226451849503
Close Leprd,Quarry backdrop ele on a  chill guy,,70,13,13,2302,2025-05-27T23:13:17.000Z,https://x.com/tehleprd999/status/1927503405125144791
Crypto Caesar,"#chillguy  massive opportunity here IMO.

Next target: 0.15$",#chillguy,89,16,7,6965,2025-05-24T14:46:25.000Z,https://x.com/CryptoCaesar112/status/1926288683088429362
just a chill guy | fan page,football players and fans love  chill guy .,,419,62,11,14169,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
