author,text,hashtags,likes,retweets,replies,views,created_at,url
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,72,20,8,1873,2025-06-02T19:27:54.000Z,https://x.com/947SC/status/1929621011592310977
just a chill guy | fan page,"back at the start, ready for another good round around the board.",,350,15,12,3930,2025-06-03T09:21:31.000Z,https://x.com/chillguycto/status/1929830799727079523
MIRAI,"chilling into the ai world with  @chillguycto  

rendering  chillguy  into 3D, publicly usable  wherever. 

more to come ",,214,54,30,17168,2025-06-02T15:07:48.000Z,https://x.com/Mirai_terminal/status/1929555553728049168
KNIGHT,#chillguy,#chillguy,88,19,3,5276,2025-06-02T13:14:17.000Z,https://x.com/cryptoknight890/status/1929526988957434320
scout,chill guy #bullseye,#bullseye,188,78,5,2848,2025-05-29T18:39:02.000Z,https://x.com/Grimiio/status/1928159162032123968
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,602,101,162,66350,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
sk,"I’m telling you… with the whale flows and clean price action  #CHILLGUY  is seeing, 200 mil market cap will come sooner than you think  See whale flows like this on any Solana coin on the web app in the replies ",#CHILLGUY,101,26,5,2584,2025-06-02T15:00:58.000Z,https://x.com/skmakeit/status/1929553837817237752
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
Penguin,#chillguy  will likely hit $0.50 this month.,#chillguy,121,21,14,5075,2025-06-02T02:41:02.000Z,https://x.com/PenguinOffisial/status/1929367626142150787
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",2807,557,8,26992,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1966,337,8,58465,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
chill guy | fan page,just a  chill guy  stepping through the snow.,,398,32,8,13041,2025-01-03T00:02:02.000Z,https://x.com/chillguyx/status/1874969430746087630
krish,Chill guy  is basically a cartoonised version of Kevin James,,6557,717,34,209630,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
TOMMY.CRYPTO,"Never underestimate the  chillguy  power.

Sometimes it pumps when markets are uncertain.",,89,18,6,1636,2025-06-02T13:11:07.000Z,https://x.com/tommydotcrypto/status/1929526191838359793
youngjae pics,Chill Guy,,0,0,0,0,2025-05-25T11:02:01.000Z,https://x.com/picyoungjae/status/1926594599813775380
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
chill guy | fan page,"Was over stressing over some shit I have no control of, then remembered I’m just a  chill guy",,664,126,32,111930,2024-11-22T14:35:18.000Z,https://x.com/chillguyx/status/1859968905865052182
chill guy | fan page,just a  chill guy  who's ready for another character building weekend.,,242,27,7,10883,2025-01-04T09:52:02.000Z,https://x.com/chillguyx/status/1875480297166287058
Jennie(slow),"Style: ""You  guys , seriously, don’t end up in jail again.""

Fadel: ""Why would we? No one actually enjoys doing it in cramped spaces, okay!

Bison: "" Chill , Fadel. But as for me, I do it in open spaces~""

****I'm going to die  #TheHeartKillers #จุงดัง","#TheHeartKillers,#จ",2222,425,5,33608,2025-05-29T12:40:25.000Z,https://x.com/Jenny20_04/status/1928068912819699889
Coinbase Guy,Day 153 of posting  #CHILLGUY  until he gets listed on  @coinbase . #SpotListing,"#CHILLGUY,#SpotListing",94,18,6,1085,2025-05-24T17:15:43.000Z,https://x.com/CoinbaseGuy/status/1926326257592963499
philb,my new plushie. his whole deal is he's a  chill guy  who lowkey would love for you to take him home  http:// -guy …,,0,0,0,0,2024-12-10T22:12:00.000Z,https://x.com/PhillipBankss/status/1866606821416337592
chill guy | fan page,just a  chill guy  who likes white monster.,,221,30,9,10793,2024-12-26T12:32:04.000Z,https://x.com/chillguyx/status/1872259079109857582
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,86,20,9,2249,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
Kevin,"Ive been offline all day. But now I feel like trying this on $ CHILLGUY  
IT's weekend so 0.5% risk",,81,18,4,2813,2025-06-01T17:37:47.000Z,https://x.com/TradelikeKevin/status/1929230912077627700
Gibbs,Bull-post.  #ChillGuy,#ChillGuy,78,16,4,907,2025-06-02T14:58:49.000Z,https://x.com/CryptoGibbs28/status/1929553295326289952
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",0,0,0,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
chill guy | fan page,2046 will be my year.,,109,16,5,2284,2025-05-28T17:31:15.000Z,https://x.com/chillguyx/status/1927779715328163937
chill guy | fan page,just a  chill guy  who just cant hear very well,,279,43,4,14923,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
chill guy | fan page,just a  chill  guying trying to be the boss of his emotions.,,379,58,7,23056,2025-01-15T02:50:02.000Z,https://x.com/chillguyx/status/1879360365093429430
just a chill guy | fan page,just some  chill guys  taking over the internet.,,1529,259,136,114151,2024-12-02T23:59:55.000Z,https://x.com/chillguycto/status/1863734873669718512
jan 𓈒 ˖ ࣪ 𝜗𝜚 DUH! | no genre,"riwoo is a  chill guy  

250601  #BOYNEXTDOOR #보이넥스트도어 #리우 #RIWOO #リウ","#BOYNEXTDOOR,#보이넥스트도어,#리우,#RIWOO,#リウ",657,95,5,13710,2025-06-01T13:35:56.000Z,https://x.com/myungjaearchive/status/1929170048402477412
just a chill guy | fan page,just a  chill guy  reflecting on a lovely christmas day.,,508,75,40,16397,2024-12-26T04:51:01.000Z,https://x.com/chillguycto/status/1872143055509164243
Rypto,Chill Guy : The Quiet Strength Meme  #CHILLGUY @chillguycto,#CHILLGUY,234,51,32,39733,2024-11-24T17:27:38.000Z,https://x.com/Rypto__/status/1860737049826906499
just a chill guy | fan page,"even in the 'crime cycle', be a  chill guy  who does the right thing.",,297,58,42,9976,2025-02-05T03:12:01.000Z,https://x.com/chillguycto/status/1886976043115847979
The Assertive Guy,बदमाशी ना मित्तर!!!  #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1199,245,5,13546,2025-05-26T06:12:46.000Z,https://x.com/SabChillHaiBro/status/1926884196632469598
mari,Chill  nagi is my fav look at this little 6’3  guy,,1166,105,4,12088,2025-05-24T20:16:31.000Z,https://x.com/reonagispain/status/1926371756740050956
·,chilling listening to music being a cute  chill guy #chillguythings,#chillguythings,0,0,0,0,2025-04-27T19:12:23.000Z,https://x.com/juyomifan/status/1916571145689616632
just a chill guy | fan page,football players and fans love  chill guy .,,421,62,11,14180,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,846,166,38,37841,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
Mary Marouf,He's just a ' chill guy '  #BabarAzam𓃵 #BabarAzam,"#BabarAzam𓃵,#BabarAzam",487,8,3,4153,2025-05-30T09:02:26.000Z,https://x.com/Cricket_istic/status/1928376442812796971
just a chill guy | fan page,"don't mind me

just a  chill guy  flipping his water bottle.",,286,54,23,6686,2024-11-26T20:27:21.000Z,https://x.com/chillguycto/status/1861507056127082683
chill guy | fan page,i’m just a  chill guy —couldn’t be bothered.,,416,71,22,21489,2024-12-11T23:07:09.000Z,https://x.com/chillguyx/status/1866983087235596507
"Wizard Of SoHo (,)",Chill guy  is bullish for men’s mental health,,910,128,55,94612,2024-11-19T15:27:26.000Z,https://x.com/wizardofsoho/status/1858894861161623833
///Steki,WHEN YOU REALIZE THAT  #CHILLGUY  IS A BILLION DOLLAR MC NORMIE/RETAIL NUCLEAR ONBORDING GATEWAY TO CRYPTO CATALYST COIN LARPING AS A 340M MC COIN BECAUSE YOURE  CHILL  AF.,#CHILLGUY,417,92,92,16781,2024-12-15T19:32:23.000Z,https://x.com/stekisteks/status/1868378592742408291
