author,text,hashtags,likes,retweets,replies,views,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,112,20,5,5049,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,0,0,0,0,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,95,15,41,4918,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
Ｍuneeb,$ CHILLGUY,,99,16,12,8125,2025-05-30T16:02:36.000Z,https://x.com/MirMuneeb55/status/1928482184505000391
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,65,17,9,1529,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1952,336,8,58434,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
vie (),just a little  chill guy #seiblue,#seiblue,784,165,2,5991,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
just a chill guy | fan page,unbothered. moisturized. happy. in my lane. focused. chilling.,,663,109,56,27550,2024-12-22T04:46:02.000Z,https://x.com/chillguycto/status/1870692246678368302
KNIGHT,#chillguy,#chillguy,146,17,27,9987,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
Gibbs,Engagement.  #ChillGuy,#ChillGuy,85,13,6,1202,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",0,0,0,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
Justpit,#CHILLGUY  tic toc ,#CHILLGUY,65,13,8,1351,2025-06-02T06:57:27.000Z,https://x.com/Justpit5/status/1929432155395953039
X,The fridge wants more food ,,0,0,0,0,2025-05-24T21:43:22.000Z,https://x.com/justChill_guy/status/1926393613740585207
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
chill guy | fan page,just a  chill guy  who likes white monster.,,221,30,9,10782,2024-12-26T12:32:04.000Z,https://x.com/chillguyx/status/1872259079109857582
Coinbase Guy,"Do you think that’s a motivational video for ppl who don’t trust  #CHILLGUY  yet?!

I’ve been buying every week/day no matter if he’s at 0.01 or 0.10 or 0.70 for me it’s ALL THE SAME! @chillguycto  is programmed for Deca Billions, so DCAing is the best answer!

Spot n  Chill",#CHILLGUY,66,11,5,1370,2025-05-31T19:12:03.000Z,https://x.com/CoinbaseGuy/status/1928892249133244885
The Assertive Guy,बदमाशी ना मित्तर!!!  #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1191,242,5,13527,2025-05-26T06:12:46.000Z,https://x.com/SabChillHaiBro/status/1926884196632469598
Chillguy Kaputo,"Day 70 of posting my  #CHILLGUY  bag until it gets to $1,000,000. #ChillguyMillionaire @chillguycto Getting ready for the next pump? ;)","#CHILLGUY,#ChillguyMillionaire",68,17,4,1196,2025-06-01T14:09:13.000Z,https://x.com/KaputoJoe14449/status/1929178425073242314
