author,text,hashtags,likes,retweets,replies,views,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,111,20,5,5013,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,514,79,154,52315,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
