author,text,hashtags,likes,retweets,replies,views,created_at,url
Fazt0x,$dilip  reminds me of the early hours of  chillguy,,0,0,0,0,2025-06-02T16:20:37.000Z,https://x.com/fazt0x/status/1929573881087418609
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,74,20,8,2093,2025-06-02T19:27:54.000Z,https://x.com/947SC/status/1929621011592310977
MIRAI,"chilling into the ai world with  @chillguycto  

rendering  chillguy  into 3D, publicly usable  wherever. 

more to come ",,217,54,31,17593,2025-06-02T15:07:48.000Z,https://x.com/Mirai_terminal/status/1929555553728049168
𝓐𝓺𝓾𝓪 𝓴𝓷𝓲𝓰𝓱𝓽,"250524
DREAMQUEST Chill guy HQ #지성 #JISUNG #NCT #NCTDREAM #チソン","#지성,#JISUNG,#NCT,#NCTDREAM,#チソン",0,0,0,0,2025-05-24T17:27:51.000Z,https://x.com/Aquaknight0205/status/1926329307753800151
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,602,101,162,66685,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,7960,112,25,120139,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
chill guy | fan page,just a  chill guy  stepping through the snow.,,398,32,8,13041,2025-01-03T00:02:02.000Z,https://x.com/chillguyx/status/1874969430746087630
mari,Chill  nagi is my fav look at this little 6’3  guy,,1166,105,4,12095,2025-05-24T20:16:31.000Z,https://x.com/reonagispain/status/1926371756740050956
(Fan) Mbeumo,Chill guy #bryanmbuemo #BrentfordFC,"#bryanmbuemo,#BrentfordFC",36966,1424,297,1176231,2025-06-02T16:17:46.000Z,https://x.com/b_mbuemo/status/1929573164658430395
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1965,337,8,58467,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
sk,"I’m telling you… with the whale flows and clean price action  #CHILLGUY  is seeing, 200 mil market cap will come sooner than you think  See whale flows like this on any Solana coin on the web app in the replies ",#CHILLGUY,104,26,5,2704,2025-06-02T15:00:58.000Z,https://x.com/skmakeit/status/1929553837817237752
TOMMY.CRYPTO,"Never underestimate the  chillguy  power.

Sometimes it pumps when markets are uncertain.",,94,19,6,1669,2025-06-02T13:11:07.000Z,https://x.com/tommydotcrypto/status/1929526191838359793
Coinbase Guy,Day 153 of posting  #CHILLGUY  until he gets listed on  @coinbase . #SpotListing,"#CHILLGUY,#SpotListing",94,18,6,1087,2025-05-24T17:15:43.000Z,https://x.com/CoinbaseGuy/status/1926326257592963499
chill guy | fan page,just a  chill guy  who's ready for another character building weekend.,,242,27,7,10884,2025-01-04T09:52:02.000Z,https://x.com/chillguyx/status/1875480297166287058
chill guy | fan page,Unbothered. Moisturized. Happy. In My Lane. Focused. Flourishing.,,2234,314,48,84171,2024-12-03T23:41:59.000Z,https://x.com/chillguyx/status/1864092748585848934
Degen Sing,"#chillguy  is going bullish... Up up and we go higher... 

Strong bullish movement spotted.",#chillguy,16,6,3,241,2025-06-03T10:52:07.000Z,https://x.com/degensing/status/1929853598835310790
chill guy | fan page,just a  chill guy  who just cant hear very well,,279,43,4,14923,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
chill guy | fan page,patiently waiting for her to make the first move cause i’m really just a  chill guy,,430,48,16,65280,2024-11-22T05:34:40.000Z,https://x.com/chillguyx/status/1859832849609949399
chill guy | fan page,just a  chillguy  getting ready for his morning routine.,,1039,96,15,31431,2025-03-24T00:57:00.000Z,https://x.com/chillguyx/status/1903974293324898585
chill guy | fan page,just two  chill  bros who understand each other.,,220,38,15,14010,2024-12-21T20:16:03.000Z,https://x.com/chillguyx/status/1870563908181709023
Chef Crypto,"the longer the consolidation the more violent the pop. #chillguy  is going to melt faces.

relax the mind, be a  chill guy .

you will be rewarded.",#chillguy,391,65,25,18902,2024-11-30T18:26:28.000Z,https://x.com/chefcrypto_/status/1862926182376726990
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,542,85,42,19673,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
Jennie(slow),"Style: ""You  guys , seriously, don’t end up in jail again.""

Fadel: ""Why would we? No one actually enjoys doing it in cramped spaces, okay!

Bison: "" Chill , Fadel. But as for me, I do it in open spaces~""

****I'm going to die  #TheHeartKillers #จุงดัง","#TheHeartKillers,#จ",2222,425,5,33619,2025-05-29T12:40:25.000Z,https://x.com/Jenny20_04/status/1928068912819699889
just a chill guy | fan page,just a  chill guy  who can never have enough coins.,,582,93,53,16554,2025-01-16T10:02:34.000Z,https://x.com/chillguycto/status/1879831602903371973
chill guy | fan page,I’m just a  chill guy  with a low taper fade,,1214,76,37,247639,2024-11-26T03:52:41.000Z,https://x.com/chillguyx/status/1861256740169203889
Mary Marouf,He's just a ' chill guy '  #BabarAzam𓃵 #BabarAzam,"#BabarAzam𓃵,#BabarAzam",487,8,3,4153,2025-05-30T09:02:26.000Z,https://x.com/Cricket_istic/status/1928376442812796971
chill guy | fan page,"Was over stressing over some shit I have no control of, then remembered I’m just a  chill guy",,664,126,32,111931,2024-11-22T14:35:18.000Z,https://x.com/chillguyx/status/1859968905865052182
Rypto,Chill Guy : The Quiet Strength Meme  #CHILLGUY @chillguycto,#CHILLGUY,234,51,32,39733,2024-11-24T17:27:38.000Z,https://x.com/Rypto__/status/1860737049826906499
just a chill guy | fan page,football players and fans love  chill guy .,,421,62,11,14180,2025-05-03T23:18:02.000Z,https://x.com/chillguycto/status/1918807289751916691
just a chill guy | fan page,just some  chill guys  taking over the internet.,,1530,259,136,114151,2024-12-02T23:59:55.000Z,https://x.com/chillguycto/status/1863734873669718512
